coverage report: version:2.0.5   date:Sun Mar 13 21:50:54 2016

Name                                                Stmts   Miss  Cover
-----------------------------------------------------------------------
toughradius/__init__.py                                 2      0   100%
toughradius/common/__init__.py                          0      0   100%
toughradius/common/initdb.py                           91     78    14%
toughradius/common/toughctl.py                         84     20    76%
toughradius/manage/__init__.py                          0      0   100%
toughradius/manage/api/__init__.py                      0      0   100%
toughradius/manage/api/apibase.py                      56     33    41%
toughradius/manage/api/v1/__init__.py                   0      0   100%
toughradius/manage/api/v1/api_account_delete.py        46     30    35%
toughradius/manage/api/v1/api_account_updatepw.py      37     25    32%
toughradius/manage/api/v1/api_accounting.py            27     14    48%
toughradius/manage/api/v1/api_authorize.py             15      7    53%
toughradius/manage/api/v1/api_customer_add.py         134    117    13%
toughradius/manage/api/v1/api_customer_auth.py         44     31    30%
toughradius/manage/api/v1/api_customer_delete.py       50     34    32%
toughradius/manage/api/v1/api_customer_query.py        42     30    29%
toughradius/manage/api/v1/api_customer_update.py       50     40    20%
toughradius/manage/api/v1/api_nas.py                   32     22    31%
toughradius/manage/api/v1/api_nas_add.py               45     31    31%
toughradius/manage/api/v1/api_node.py                  31     19    39%
toughradius/manage/api/v1/api_online_query.py          35     24    31%
toughradius/manage/api/v1/api_product.py               27     15    44%
toughradius/manage/auth/__init__.py                     0      0   100%
toughradius/manage/auth/login.py                       29      7    76%
toughradius/manage/auth/logout.py                      10      5    50%
toughradius/manage/base.py                            158     51    68%
toughradius/manage/customer/__init__.py                 0      0   100%
toughradius/manage/customer/accept_logger.py           51     33    35%
toughradius/manage/customer/account.py                 45     28    38%
toughradius/manage/customer/account_cancel.py          57     42    26%
toughradius/manage/customer/account_change.py          86     69    20%
toughradius/manage/customer/account_charge.py          14      1    93%
toughradius/manage/customer/account_delete.py          31     17    45%
toughradius/manage/customer/account_forms.py           15      3    80%
toughradius/manage/customer/account_next.py            73     58    21%
toughradius/manage/customer/account_open.py            94     79    16%
toughradius/manage/customer/account_pause.py           34     19    44%
toughradius/manage/customer/account_release.py         22      9    59%
toughradius/manage/customer/account_resume.py          36     22    39%
toughradius/manage/customer/account_update.py          35     21    40%
toughradius/manage/customer/billing.py                 45     30    33%
toughradius/manage/customer/customer.py                70     49    30%
toughradius/manage/customer/customer_delete.py         33     18    45%
toughradius/manage/customer/customer_detail.py         23      8    65%
toughradius/manage/customer/customer_forms.py          15      3    80%
toughradius/manage/customer/customer_import.py        129    112    13%
toughradius/manage/customer/customer_open.py          126    104    17%
toughradius/manage/customer/customer_order.py          51     35    31%
toughradius/manage/customer/customer_update.py         40     24    40%
toughradius/manage/customer/online.py                  34     21    38%
toughradius/manage/customer/online_unlock.py           54     33    39%
toughradius/manage/customer/ticket.py                  37     24    35%
toughradius/manage/events/__init__.py                   0      0   100%
toughradius/manage/events/radius_events.py             47     30    36%
toughradius/manage/events/settings.py                  11      0   100%
toughradius/manage/httpd.py                            54      4    93%
toughradius/manage/models.py                          333     19    94%
toughradius/manage/radius/__init__.py                   0      0   100%
toughradius/manage/radius/plugins/__init__.py           0      0   100%
toughradius/manage/radius/plugins/mac_parse.py         34     28    18%
toughradius/manage/radius/plugins/rate_process.py      44     34    23%
toughradius/manage/radius/plugins/vlan_parse.py        68     61    10%
toughradius/manage/radius/radius_acct_onoff.py         11      3    73%
toughradius/manage/radius/radius_acct_start.py         18      8    56%
toughradius/manage/radius/radius_acct_stop.py          32     23    28%
toughradius/manage/radius/radius_acct_update.py        22     13    41%
toughradius/manage/radius/radius_attrs.py               1      0   100%
toughradius/manage/radius/radius_authorize.py         131    114    13%
toughradius/manage/radius/radius_basic.py             159    124    22%
toughradius/manage/radius/radius_billing.py            83     66    20%
toughradius/manage/radiusd.py                         239    152    36%
toughradius/manage/resource/__init__.py                 0      0   100%
toughradius/manage/resource/bas.py                     67     27    60%
toughradius/manage/resource/bas_forms.py                9      0   100%
toughradius/manage/resource/node.py                    58     24    59%
toughradius/manage/resource/node_forms.py               7      0   100%
toughradius/manage/resource/product.py                 98     46    53%
toughradius/manage/resource/product_attr.py            63     42    33%
toughradius/manage/resource/product_forms.py           14      1    93%
toughradius/manage/settings.py                         39      0   100%
toughradius/manage/system/__init__.py                   0      0   100%
toughradius/manage/system/backup.py                    69     45    35%
toughradius/manage/system/config.py                    66     43    35%
toughradius/manage/system/config_forms.py              12      0   100%
toughradius/manage/system/dashboard.py                133     87    35%
toughradius/manage/system/index.py                     23      3    87%
toughradius/manage/system/logger.py                    78     52    33%
toughradius/manage/system/operate_log.py               26     15    42%
toughradius/manage/system/operator.py                 128    103    20%
toughradius/manage/system/operator_form.py              8      2    75%
toughradius/manage/system/param.py                     41     26    37%
toughradius/manage/system/param_forms.py               11      0   100%
toughradius/manage/system/password.py                  26     15    42%
toughradius/manage/system/password_forms.py             4      0   100%
toughradius/manage/taskd.py                            51      0   100%
toughradius/manage/tasks/__init__.py                    0      0   100%
toughradius/manage/tasks/ddns_update.py                29     12    59%
toughradius/manage/tasks/expire_notify.py              53     34    36%
toughradius/manage/tasks/flow_stat.py                  29      9    69%
toughradius/manage/tasks/online_stat.py                26      3    88%
toughradius/manage/tasks/radius_stat.py                29      5    83%
toughradius/manage/tasks/task_base.py                  13      1    92%
-----------------------------------------------------------------------
TOTAL                                                4792   2769    42%
